JCR category,Code,Journal,Published articles,Self-citing articles,Self-cited article occurrences,Self-citation mentions
Information Science & Library Science,G1-1,Library Hi Tech,195,125,414,529
Gerontology,G1-2,"Activities, Adaptation & Aging",77,49,119,147
"Engineering, Multidisciplinary",G1-3,Engineering Technology & Applied Science Research,685,529,874,1092
Veterinary Sciences,G1-4,Exploratory Animal and Medical Research,93,53,95,98
Geography,G1-5,Regional Statistics,75,38,80,81
Information Science & Library Science,G2-1,Information & Management,227,53,76,104
Gerontology,G2-2,Nature Aging,397,33,35,61
"Engineering, Multidisciplinary",G2-3,Engineering,488,15,20,25
Veterinary Sciences,G2-4,Animal Nutrition,294,32,42,52
Geography,G2-5,Landscape and Urban Planning,489,94,128,246
