Dimension,Category,G1 count,G1 proportion,G1 SD,G2 count,G2 proportion,G2 SD
Citation position,Introduction,1061,0.5449409347714432,,180,0.36885245901639346,
Citation position,Related work,249,0.12788906009244994,,56,0.11475409836065574,
Citation position,Methods,270,0.1386748844375963,,112,0.22950819672131148,
Citation position,Results,93,0.04776579352850539,,33,0.06762295081967214,
Citation position,Discussion,274,0.14072932717000514,,107,0.2192622950819672,
Citation distance,Same sentence,516,0.2650231124807396,,35,0.07172131147540983,
Citation distance,Same paragraph,281,0.1443246019517206,,7,0.014344262295081968,
Citation distance,Same section,363,0.1864406779661017,,92,0.1885245901639344,
Citation distance,Same article,331,0.17000513610683102,,78,0.1598360655737705,
Citation distance,Single self-cited article,456,0.23420647149460708,,276,0.5655737704918032,
Citation strength,1,1359,0.859039190897598,,219,0.7275747508305648,
Citation strength,2,163,0.10303413400758533,,44,0.1461794019933555,
Citation strength,3,25,0.01580278128950695,,12,0.03986710963455149,
Citation strength,4,17,0.010745891276864728,,13,0.04318936877076412,
Citation strength,>=5,18,0.011378002528445006,,13,0.04318936877076412,
Citation function,Foundation,0,0.0,,1,0.0020491803278688526,
Citation function,Inspiration,16,0.008217770929635337,,14,0.028688524590163935,
Citation function,Extension,8,0.004108885464817668,,4,0.00819672131147541,
Citation function,Application,270,0.1386748844375963,,101,0.2069672131147541,
Citation function,Elaborated Citation,14,0.007190549563430919,,2,0.004098360655737705,
Citation function,Comparison,56,0.028762198253723677,,30,0.06147540983606557,
Citation function,Similarity,18,0.009244992295839754,,14,0.028688524590163935,
Citation function,Affirmation,42,0.02157164869029276,,24,0.04918032786885246,
Citation function,Related work,441,0.22650231124807396,,112,0.22950819672131148,
Citation function,Simple mention,509,0.2614278376990241,,128,0.26229508196721313,
Citation function,Comparison between Related Work,17,0.008731381612737545,,5,0.010245901639344262,
Citation function,Future work,51,0.026194144838212634,,22,0.045081967213114756,
Citation function,Further reading,4,0.002054442732408834,,1,0.0020491803278688526,
Citation function,Historical background,501,0.2573189522342065,,30,0.06147540983606557,
Citation depth,Deep citation,95,0.04879301489470981,,38,0.0778688524590164,
Citation depth,Moderate citation,376,0.19311761684643042,,190,0.38934426229508196,
Citation depth,Shallow citation,1476,0.7580893682588598,,260,0.5327868852459017,
Semantic similarity,Mean score,,0.6631021550248245,0.05757864051515215,,0.6865928107923498,0.052148100276262925
