Dimension,Category,G1 count,G1 proportion,G1 SD,G2 count,G2 proportion,G2 SD
Citation position,Introduction,33,0.4074074074074074,,103,0.4186991869918699,
Citation position,Related Work,21,0.25925925925925924,,27,0.10975609756097561,
Citation position,Methods,19,0.2345679012345679,,62,0.25203252032520324,
Citation position,Results,3,0.037037037037037035,,10,0.04065040650406504,
Citation position,Discussion,5,0.06172839506172839,,44,0.17886178861788618,
Citation distance,Same sentence,28,0.345679012345679,,25,0.1016260162601626,
Citation distance,Same paragraph,9,0.1111111111111111,,4,0.016260162601626018,
Citation distance,Same section,20,0.24691358024691357,,48,0.1951219512195122,
Citation distance,Same article,10,0.12345679012345678,,38,0.15447154471544716,
Citation distance,Single self-cited article,14,0.1728395061728395,,131,0.532520325203252,
Citation strength,1,79,0.9875,,83,0.6484375,
Citation strength,2,1,0.0125,,21,0.1640625,
Citation strength,3,0,0.0,,8,0.0625,
Citation strength,4,0,0.0,,7,0.0546875,
Citation strength,>=5,0,0.0,,9,0.0703125,
Citation function,Foundation,0,0.0,,0,0.0,
Citation function,Inspiration,2,0.024691358024691357,,3,0.012195121951219513,
Citation function,Extension,0,0.0,,1,0.0040650406504065045,
Citation function,Application,11,0.13580246913580246,,64,0.2601626016260163,
Citation function,Elaborated Citation,1,0.012345679012345678,,0,0.0,
Citation function,Comparison,1,0.012345679012345678,,18,0.07317073170731707,
Citation function,Similarity,2,0.024691358024691357,,3,0.012195121951219513,
Citation function,Affirmation,3,0.037037037037037035,,12,0.04878048780487805,
Citation function,Related Work,13,0.16049382716049382,,75,0.3048780487804878,
Citation function,Simple Mention,26,0.32098765432098764,,37,0.15040650406504066,
Citation function,Comparison between Related Work,0,0.0,,5,0.02032520325203252,
Citation function,Future work,3,0.037037037037037035,,18,0.07317073170731707,
Citation function,Further reading,1,0.012345679012345678,,1,0.0040650406504065045,
Citation function,Historical Background,18,0.2222222222222222,,9,0.036585365853658534,
Citation depth,Deep citation,3,0.037037037037037035,,17,0.06910569105691057,
Citation depth,Moderate citation,17,0.20987654320987653,,98,0.3983739837398374,
Citation depth,Shallow Citation,61,0.7530864197530864,,131,0.532520325203252,
Semantic similarity,Mean score,,0.6603330761316872,0.06013586735261019,,0.6869706978319784,0.052428658932647663
