Dimension,Category,Difference G1-G2,Article-level CI lower,Article-level CI upper,Article-level significant,Journal-level CI lower,Journal-level CI upper,Journal-level significant
Citation position,Introduction,0.17608847575504977,0.11127006311792073,0.2384846853703593,True,-0.0075044210369951125,0.3855238438376613,False
Citation position,Related Work,0.013134961731794195,-0.04045198084597057,0.06322979920172467,False,-0.0007740501464508914,0.11939354749407871,False
Citation position,Methods,-0.09083331228371519,-0.149028160332167,-0.034025179601214574,True,-0.1815712789429271,0.033484671543323644,False
Citation position,Results,-0.019857157291166744,-0.05587141281515575,0.013391108794441673,False,-0.1430519839276337,0.03761036762624137,False
Citation position,Discussion,-0.07853296791196207,-0.1363638633599068,-0.027869283862901283,True,-0.30306227106227107,0.06502427382297937,False
Citation distance,Same sentence,0.1933018010053298,0.12188271101247157,0.2545233495351323,True,0.21955019358618724,0.43851386708529566,True
Citation distance,Same paragraph,0.12998033965663863,0.1038901333041206,0.1566264897927274,True,0.11053133397409298,0.15595107273678682,True
Citation distance,Same section,-0.0020839121978327158,-0.0707067921928896,0.068476468284553,False,-0.20419112474397028,0.12550833126086322,False
Citation distance,Same article,0.010169070533060515,-0.04883850604712063,0.06847441291488197,False,-0.05775767488738075,0.0366773224293821,False
Citation distance,Single self-cited article,-0.3313672989971962,-0.4348473838491795,-0.23663996917309532,True,-0.6110063442111575,-0.2103227024123595,True
Citation function,Foundation,-0.0020491803278688526,-0.0070261734340469045,0.0,False,-0.0057692307692307696,0.0,False
Citation function,Inspiration,-0.0204707536605286,-0.04139664393846218,-0.003177963808395712,True,-0.04464554034497324,0.004567338713680176,False
Citation function,Extension,-0.004087835846657742,-0.01311188453028648,0.003485002981897947,False,-0.024287807430664575,0.00033035746102936126,False
Citation function,Application,-0.06829232867715782,-0.13483977738137162,-0.007332669084259811,True,-0.10380877034732733,-0.03898961290845582,True
Citation function,Elaborated Citation,0.003092188907693214,-0.004063499330154441,0.009345915766476512,False,-0.0007698460996185923,0.008323158323158322,False
Citation function,Comparison,-0.032713211582341896,-0.05589129882850691,-0.01282085790441772,True,-0.05286353860016392,-0.01151528828848946,True
Citation function,Similarity,-0.019443532294324183,-0.05049635559577347,0.0011317210783477476,False,-0.07115135599889715,0.010060683887662233,False
Citation function,Affirmation,-0.0276086791785597,-0.051054956794407,-0.005753044628765136,True,-0.07392814953790566,0.04761951267227893,False
Citation function,Related Work,-0.0030058854732375184,-0.05432767978521813,0.05211170286929566,False,-0.07816062193065682,0.08861562027176081,False
Citation function,Simple Mention,-0.0008672442681890158,-0.054937310216433145,0.056386999782321395,False,-0.1259727940454246,0.09613441730697686,False
Citation function,Comparison between Related Work,-0.001514520026606717,-0.013047019974226871,0.008832478186102008,False,-0.009926690949329154,0.009560409884471457,False
Citation function,Future work,-0.018887822374902122,-0.042196734402686856,0.0034155118781244317,False,-0.028556041970676117,0.04426259794305962,False
Citation function,Further reading,5.26240453998161e-06,-0.005268678281222199,0.0037194968308285606,False,0.0003663003663003663,0.00632892723485058,True
Citation function,Historical Background,0.1958435423981409,0.15945465908379092,0.2302969481486586,True,-0.031111247250620033,0.42778671193305345,False
Citation depth,Deep citation,-0.029075837564306588,-0.06894026216430543,0.007204058155950023,False,-0.10302811830683103,-0.017942327110088575,True
Citation depth,Moderate citation,-0.19622664544865154,-0.25185806652898285,-0.13983433435774717,True,-0.2923022307589643,0.014186881574288547,False
Citation depth,Shallow Citation,0.22530248301295808,0.16008296873520725,0.2958913468965277,True,0.045627214672206096,0.35269298642843283,True
Citation strength,1,0.13146444006703317,0.07357378568999598,0.19046505376052722,True,0.03293995859213261,0.24252312967521095,True
Citation strength,2,-0.04314526798577016,-0.08907283010104772,0.00017761443002671133,False,-0.1057745927318296,-0.011494315498892155,True
Citation strength,3,-0.02406432834504454,-0.04667829062589359,-0.0029544326271048814,True,-0.04159822510239793,0.0068907776688097045,False
Citation strength,4,-0.03244347749389939,-0.05578842952388066,-0.010953639212290964,True,-0.04863428952816824,-0.020508111711503824,True
Citation strength,>=5,-0.03181136624231911,-0.05781364891540784,-0.008156133635657505,True,-0.05527911717700047,0.003025680142384948,False
Semantic similarity,Mean score,-0.023490655767525292,-0.030868086999466596,-0.016164296661202733,True,-0.05239761651382724,-0.019837024004783377,True
