Dimension,Excluded code,Excluded journal,n,Chi-square,df,Asymptotic p,Monte Carlo p,Cramer's V
Citation position,G1-1,Library Hi Tech,1906,118.43375102180967,4,1.1538675168642732e-24,1.999960000799984e-05,0.249273604743735
Citation position,G1-2,"Activities, Adaptation & Aging",2288,70.97795300297338,4,1.4108960538708932e-14,1.999960000799984e-05,0.1761301581393563
Citation position,G1-3,Engineering Technology & Applied Science Research,1343,59.92499645889447,4,3.0080728487025803e-12,1.999960000799984e-05,0.21123505989263236
Citation position,G1-4,Exploratory Animal and Medical Research,2337,52.07306661598639,4,1.3317670358850743e-10,1.999960000799984e-05,0.14927161135443162
Citation position,G1-5,Regional Statistics,2354,64.24468762306884,4,3.711627618715681e-13,1.999960000799984e-05,0.1652020307679897
Citation position,G2-1,Information & Management,2331,65.13904735051997,4,2.40536378856123e-13,1.999960000799984e-05,0.16716662124375287
Citation position,G2-2,Nature Aging,2374,40.16124904581521,4,4.008473800938856e-08,1.999960000799984e-05,0.13006583947073225
Citation position,G2-3,Engineering,2410,69.99926656916386,4,2.2706514420503216e-14,1.999960000799984e-05,0.17042693104488854
Citation position,G2-4,Animal Nutrition,2383,52.248086795028215,4,1.2241271717896374e-10,1.999960000799984e-05,0.14807207927541047
Citation position,G2-5,Landscape and Urban Planning,2189,57.27319017537249,4,1.0842091784957164e-11,1.999960000799984e-05,0.16175317216381954
Citation distance,G1-1,Library Hi Tech,1906,183.1063678692613,4,1.604533467526922e-38,1.999960000799984e-05,0.3099490259255951
Citation distance,G1-2,"Activities, Adaptation & Aging",2288,247.5124521396263,4,2.235713480204173e-52,1.999960000799984e-05,0.3289050308094948
Citation distance,G1-3,Engineering Technology & Applied Science Research,1343,378.02877643961074,4,1.5519605715113074e-80,1.999960000799984e-05,0.5305476851281097
Citation distance,G1-4,Exploratory Animal and Medical Research,2337,254.70731878952552,4,6.301105189319351e-54,1.999960000799984e-05,0.33013483765775553
Citation distance,G1-5,Regional Statistics,2354,256.5103337566821,4,2.5759454499979132e-54,1.999960000799984e-05,0.3301027965819887
Citation distance,G2-1,Information & Management,2331,246.09239427533757,4,4.521671615015638e-52,1.999960000799984e-05,0.32492113307364684
Citation distance,G2-2,Nature Aging,2374,195.01539395021186,4,4.430119348453543e-41,1.999960000799984e-05,0.2866118154415848
Citation distance,G2-3,Engineering,2410,254.33509922445134,4,7.579019204595162e-54,1.999960000799984e-05,0.32485879423638575
Citation distance,G2-4,Animal Nutrition,2383,235.13723149120318,4,1.034114639572266e-49,1.999960000799984e-05,0.3141222351834995
Citation distance,G2-5,Landscape and Urban Planning,2189,178.18234673203384,4,1.8317966656331273e-37,1.999960000799984e-05,0.2853050483964323
Citation function,G1-1,Library Hi Tech,1906,161.9216566870606,13,8.046319068933878e-28,1.999960000799984e-05,0.2914680941171425
Citation function,G1-2,"Activities, Adaptation & Aging",2288,174.82018902574416,13,1.929855447311107e-30,1.999960000799984e-05,0.2764189307436985
Citation function,G1-3,Engineering Technology & Applied Science Research,1343,110.90149037772065,13,1.2438481387280418e-17,1.999960000799984e-05,0.28736289149018507
Citation function,G1-4,Exploratory Animal and Medical Research,2337,117.99068691088677,13,5.019103132862504e-19,1.999960000799984e-05,0.22469556917425226
Citation function,G1-5,Regional Statistics,2354,140.7807076250367,13,1.4680631495849793e-23,1.999960000799984e-05,0.24455038037344623
Citation function,G2-1,Information & Management,2331,129.49258776125598,12,7.802828901848876e-22,1.999960000799984e-05,0.23569551481085615
Citation function,G2-2,Nature Aging,2374,116.46011704041695,13,1.0054527223839974e-18,1.999960000799984e-05,0.22148700666135013
Citation function,G2-3,Engineering,2410,153.96988673495207,13,3.2629754053394424e-26,1.999960000799984e-05,0.25276059781349236
Citation function,G2-4,Animal Nutrition,2383,133.82369237388218,13,3.6161029291656947e-22,1.999960000799984e-05,0.23697606464271212
Citation function,G2-5,Landscape and Urban Planning,2189,112.00274802835071,13,7.56456438212157e-18,1.999960000799984e-05,0.22619940509917968
Citation depth,G1-1,Library Hi Tech,1906,74.74730571449498,2,5.872578023142639e-17,1.999960000799984e-05,0.19803243307890658
Citation depth,G1-2,"Activities, Adaptation & Aging",2288,114.24054486417995,2,1.5594838369508057e-25,1.999960000799984e-05,0.22345090751663713
Citation depth,G1-3,Engineering Technology & Applied Science Research,1343,100.00815388001297,2,1.9209024580846957e-22,1.999960000799984e-05,0.27288502195022557
Citation depth,G1-4,Exploratory Animal and Medical Research,2337,87.45890091011411,2,1.0198609677006472e-19,1.999960000799984e-05,0.193451744952609
Citation depth,G1-5,Regional Statistics,2354,97.70634225249498,2,6.072078204998779e-22,1.999960000799984e-05,0.20373148388117232
Citation depth,G2-1,Information & Management,2331,63.927884586123604,2,1.3129138877943031e-14,1.999960000799984e-05,0.16560522308350342
Citation depth,G2-2,Nature Aging,2374,100.02502689569744,2,1.9047649173924218e-22,1.999960000799984e-05,0.2052645640060744
Citation depth,G2-3,Engineering,2410,103.22117274206077,2,3.853072060206691e-23,1.999960000799984e-05,0.20695497610261798
Citation depth,G2-4,Animal Nutrition,2383,93.74177495750065,2,4.407904798251942e-21,1.999960000799984e-05,0.19833737682849814
Citation depth,G2-5,Landscape and Urban Planning,2189,55.95039263179186,2,7.088047346041031e-13,1.999960000799984e-05,0.15987431197337262
Citation strength,G1-1,Library Hi Tech,1469,52.83091288151955,4,9.245033978768937e-11,1.999960000799984e-05,0.18964140299550045
Citation strength,G1-2,"Activities, Adaptation & Aging",1764,48.146324885624274,4,8.797666675822432e-10,1.999960000799984e-05,0.16520845913322585
Citation strength,G1-3,Engineering Technology & Applied Science Research,1009,42.949149965622226,4,1.060234839893554e-08,1.999960000799984e-05,0.20631542711688916
Citation strength,G1-4,Exploratory Animal and Medical Research,1788,43.62908170690164,4,7.660850990181972e-09,1.999960000799984e-05,0.15620836216023032
Citation strength,G1-5,Regional Statistics,1803,44.00608041249854,4,6.397146430946157e-09,1.999960000799984e-05,0.15622785884168564
Citation strength,G2-1,Information & Management,1807,55.49113788581134,4,2.5634415513981452e-11,1.999960000799984e-05,0.1752397959988593
Citation strength,G2-2,Nature Aging,1848,41.88637592295114,4,1.7611192252795937e-08,1.999960000799984e-05,0.15055161187146013
Citation strength,G2-3,Engineering,1863,52.07429690487674,4,1.330978340896202e-10,1.999960000799984e-05,0.16718806832572325
Citation strength,G2-4,Animal Nutrition,1841,56.22277763065567,4,1.800702152288948e-11,1.999960000799984e-05,0.17475485682538455
Citation strength,G2-5,Landscape and Urban Planning,1755,11.3286501076186,4,0.023108462823471627,0.02631947361052779,0.08034345826756753
