Code,Journal,Published articles,Candidate self-citing articles,Excluded editorial,Excluded review,Excluded correction,Excluded news,Manually excluded,Self-citing articles,Self-cited article occurrences,Self-citation mentions
G1-1,Library Hi Tech,195,149,17,2,0,0,5,125,414,529
G1-2,"Activities, Adaptation & Aging",77,63,4,2,2,0,6,49,119,147
G1-3,Engineering Technology & Applied Science Research,685,534,0,3,0,0,2,529,874,1092
G1-4,Exploratory Animal and Medical Research,93,60,2,5,0,0,0,53,95,98
G1-5,Regional Statistics,75,38,0,0,0,0,0,38,80,81
G2-1,Information & Management,227,56,0,2,1,0,0,53,76,104
G2-2,Nature Aging,397,117,53,9,15,0,7,33,35,61
G2-3,Engineering,488,46,20,1,1,5,4,15,20,25
G2-4,Animal Nutrition,294,54,0,15,2,1,4,32,42,52
G2-5,Landscape and Urban Planning,489,105,2,4,1,0,4,94,128,246
Total,All journals,3020,1222,98,43,22,6,32,1021,1883,2435
