Category,Precision,Recall,F1-score,Support
Affirmation,0.8333333333333334,0.625,0.7142857142857143,8
Application,0.26666666666666666,1.0,0.4210526315789474,4
Comparison,1.0,1.0,1.0,2
Comparison between Related Work,0.0,0.0,0.0,1
Extension,0.0,0.0,0.0,1
Future work,1.0,1.0,1.0,2
Historical background,1.0,0.10526315789473684,0.1904761904761905,19
Inspiration,0.6666666666666666,0.4,0.5,5
Related work,0.7916666666666666,0.7916666666666666,0.7916666666666666,24
Simple mention,0.4,0.6666666666666666,0.5,18
Macro average,0.5958333333333333,0.5588596491228071,0.5117481203007519,84
Weighted average,0.7174603174603175,0.5714285714285714,0.5418755221386801,84
