True label,Affirmation,Application,Comparison,Comparison between Related Work,Extension,Future work,Historical Background,Inspiration,Related Work,Simple Mention
Affirmation,5,3,0,0,0,0,0,0,0,0
Application,0,4,0,0,0,0,0,0,0,0
Comparison,0,0,2,0,0,0,0,0,0,0
Comparison between Related Work,0,0,0,0,0,0,0,0,1,0
Extension,0,0,0,0,0,0,0,1,0,0
Future work,0,0,0,0,0,2,0,0,0,0
Historical Background,0,0,0,0,0,0,2,0,2,15
Inspiration,0,3,0,0,0,0,0,2,0,0
Related Work,1,1,0,0,0,0,0,0,19,3
Simple Mention,0,4,0,0,0,0,0,0,2,12
